Loại cảm ứng,Số Camera Selfie,Bluetooth,Thương hiệu,Cảm biến,Bộ nhớ trong,Dung lượng pin,Phụ kiện trong hộp,Màu màn hình,Tần số quét,Chất liệu mặt kính,Chất liệu,Thông báo LED,Bảo mật,Loại PIN,Công nghệ màn hình,Tốc độ tối đa,Thẻ nhớ ngoài,Tỷ lệ tương phản,Làm mát,Trọng lượng sản phẩm,Thời gian bảo hành (tháng),Độ phân giải,Camera Type 3,GPS,Hỗ trợ mạng,64 Bits,Type,Chuẩn màn hình,Sensor,Tên,Số khe SIM,CPU,Danh bạ lưu trữ,Aperture,Tỷ lệ diện tích sử dụng màn hình,OS,Cổng giao tiếp,Độ sáng tối đa,Loại SIM,Mật độ điểm ảnh,Số nhân,Hỗ trợ thẻ nhớ tối đa,Camera Type 1,Quay phim,Xuất xứ,GPU,Loại CPU,Camera Type 4,Version,Độ phủ màu,Kích thước,Resolution,Tính năng,Chuẩn kháng nước / Bụi bẩn,Phiên bản CPU,Tính năng đặc biệt,Hướng dẫn sử dụng,Công nghệ pin,Giá thị trường,RAM,Hướng dẫn bảo quản,Số camera sau,Pixel size,Kích thước màn hình,Camera Type 2,Wifi,Bộ nhớ còn lại,RAM Type,Kết nối khác,Kích thước màn hình phụ,Thời điểm ra mắt,Tỷ lệ khung hình
Điện dung đa điểm,Single selfie camera,v5.3,Samsung,Cảm biến ánh sáng,256 GB,3900 mAh,Cáp,16 Triệu,120,Gorilla Glass Victus,Khung máy: Hợp kim nhôm,Không,Mở khóa vân tay dưới màn hình,Lithium-ion,Dynamic AMOLED 2X,2.2 GHz,Không,,Không,168 g,12,1080 x 2340 Pixels,Telephoto,A-GPS,4G,Có,,FHD+,,Samsung Galaxy S23 5G 256GB,1,,Không giới hạn,ƒ/2.2,,Android,Cổng sạc: Type C,1200 nits,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",,8,,Standard,Quay phim FullHD,Việt Nam / Trung Quốc,Adreno 730,Octa-Core,,Android 13.0,,"146,3 x 70,9 x 7,6 mm",12.0 MP,HDR,IP68,Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,24990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.1 inch,Ultra Wide,802.11 a/b/g/n/ac/ax,Khoảng 100 GB,,NFC,,02/2023,
Điện dung đa điểm,Single selfie camera,,Apple,Cảm biến tiệm cận,128 GB,3279 mAh,Cáp,,60,,,Có,Mở khóa bằng mật mã,Lithium-ion,OLED,3.22 GHz,Không,,,172 g,12,2532 x 1170 Pixels,,GPS,5G,,,Super Retina XDR,,iPhone 14 128GB,1,,,,,iOS,1 Lightning,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Wide,4K 4230p@60fps,Trung Quốc,Apple GPU 5 nhân,,,iOS 16,,146.7 x 71.5 x 7.8 mm,12.0 MP,,IP68,Apple A15 Bionic,,Xem trong sách hướng dẫn sử dụng,,21990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.1 inch,Ultra Wide,,,,,,09/2022,
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến trọng lực,256 GB,4300 mAh,Dock sạc,16 Triệu,120,Màn hình phụ: Gorilla Glass 5,Khung máy: Hợp kim,,Mở khoá vân tay cạnh viền,Lithium polymer,AMOLED,3.2 GHz,Không,,Có,191 g,12,2520 x 1080 Pixels,,A-GPS,3G,Có,,FHD+,,OPPO Find N2 Flip,2,,Không giới hạn,ƒ/2.4,,Android,Cổng sạc: Type C,,2 Nano SIM,,8,,Standard,Quay phim HD,Trung Quốc,Mali-G710 MC10,,,Android 13.0 (ColorOS 13),,166.2 x 75.2 x 7.45 mm,32.0 MP,Nhãn dán (AR Stickers),IPX4,MediaTek Dimensity 9000+ 5G,,Xem trong sách hướng dẫn sử dụng,Hỗ trợ sạc nhanh 44W,19990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.8 inch,Ultra Wide,802.11 a/b/g/n/ac/ax,,,OTG,3.26 inch,03/2023,
Điện dung đa điểm,Single selfie camera,v5.0,Apple,,128 GB,3225 mAh,Cáp,16 Triệu,60,Phủ Ceramic,Mặt lưng máy: Kính,,Mở khóa bằng mật mã,Lithium-ion,OLED,3.22 GHz,Không,,,164 g,12,2532 x 1170 Pixels,,A-GPS,4G,,,Super Retina XDR,,iPhone 13 128GB,1,,Tùy bộ nhớ,ƒ/2.2,,iOS,Cổng sạc: Lightning,,"1 eSIM, 1 Nano SIM",,6,,Standard,Quay phim HD,Trung Quốc,Apple GPU 5 nhân,,,iOS 15,,71.5 x 7.4 x 146.7 mm,12.0 MP,Nhận diện khuôn mặt,,Apple A15 Bionic,,Xem trong sách hướng dẫn sử dụng,Hỗ trợ sạc không dây,18990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.1 inch,Ultra Wide,802.11 ax,,,,,2022,19.5:9
Điện dung đa điểm,Single selfie camera,v5.2,Samsung,Cảm biến ánh sáng,256 GB,3700 mAh,Cáp,16 Triệu,120,,Mặt lưng máy: Kính cường lực,,Mở khoá vân tay cạnh viền,Lithium polymer,Dynamic AMOLED 2X,,Không,,,183 g,12,1080 x 2636 Pixels,,A-GPS,4G,Có,,FHD+,,Samsung Galaxy Z Flip4 5G 256GB Bespoke Edition,2,,Không giới hạn,ƒ/2.4,82%,Android,Cổng sạc: Type C,1200 nits,"1 eSIM, 1 Nano SIM",,8,,Wide,Quay phim Slow Motion,Việt Nam,,Octa-Core,,Android 12,,165.2 x 71.9 x 6.9 mm,10.0 MP,Live Photo,IPX8,Snapdragon 8+ Gen 1,Trợ lý ảo Samsung Bixby,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,25990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g/n/ac/ax,,LPDDR5,Computer sync,1.9 inch,04/2023,21:9
,Single selfie camera,v5.3,Xiaomi,Cảm biến Quang phổ màu,256 GB,5000 mAh,Ốp lưng,,144,Gorilla Glass 5,Mặt lưng máy: Kính,,Mở khóa vân tay dưới màn hình,,OLED,3.1 GHz,Không,,,197 g,24,2712 x 1220 Pixels,Ultra Wide,NavIC,4G,,,FHD+,,Xiaomi 13T 12GB-256GB,2,,Không giới hạn,f/1.9,,Android,Cổng sạc: Type C,,2 Nano SIM,,8,,Standard,,Trung Quốc,Mali-G610 MC6,,,Android 13.0,,162.2 x 75.7 x 8.49 mm,20.0 MP,,IP68,Dimensity 8200 Ultra,,,,12990000.0,12 GB,,Triple rear camera,,6.7 inch,Telephoto,802.11 a/b/g/n/ac/ax,Khoảng 230 GB,,,,09/2023,20:9
Điện dung đa điểm,,v5.2,Realme,,256 GB,5000 mAh,Miếng dán màn hình,1.07 tỷ,120,Kính cường lực AGC DT-Star2,Mặt lưng máy: Da,,Mở khóa vân tay,Lithium polymer,OLED,2.60 GHz,,,,191 g,12,1080 x 2412 Pixels,,GPS,3G,,,FHD+,,realme 11 Pro 5G 8GB-256GB,,,Tùy bộ nhớ,,,Android,,,2 Nano SIM,,8,,,,Trung Quốc,Mali-G68,Octa-Core,,Android 13.0,,161.6 x 73.9 x 8.7 mm,16.0 MP,Bộ lọc màu,,MediaTek Dimensity 7050 5G,Ghi âm cuộc gọi,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,11990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,6.7 inch,,802.11 a/b/g/n/ac/ax,,,OTG,,07.2023,
Điện dung đa điểm,Single selfie camera,v5.2,Vivo,Cảm biến trọng lực,128 GB,4830 mAh,Tai nghe,16.7 Triệu,120,Schott Xensation UP,Mặt kính: Schott Xensation UP,,Mở khóa vân tay dưới màn hình,Lithium-ion,Chính: AMOLED,3 GHz,,,,190 g,12,1080 x 2376 Pixel,Macro lens,GPS,5G,Có,CMOS,FHD+,,Vivo V25 Pro 5G 8GB-128GB,2,1 x Cortex A78 3.0 GHz + 3 x Cortex A78 2.6 GHz + 4 x Cortex A55 2.0 GHz,,ƒ/2.45,92.70%,Android,Type C,1300 nits,2 Nano SIM,,8,,Standard,,Trung Quốc,,8 - Core,,Android 12,103% NTSC,158.9x73.52x8.62 mm,32.0 MP,Live Photo,IP54,MediaTek Dimensity 1300 5G,,Xem trong sách hướng dẫn sử dụng,,13990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,0.80 µm,6.56 inch,Wide,Dual-band (2.4 GHz/ 5 GHz),Khoảng 113 GB,LPDDR4X,OTG,,11/2022,
,Single selfie camera,v5.2,Samsung,Cảm biến vân tay,256 GB,5000 mAh,Cáp,,,,,,,,Super AMOLED,2.4 GHz,,,,202 g,12,1080 x 2400 Pixels,Macro lens,GPS,4G,,,FHD+,,Samsung Galaxy A54 5G 256GB,2,,,ƒ/2.2,,Android,Type C,1000 nits,2 Nano SIM,,8,,Wide,,Việt Nam / Trung Quốc,,,,Android 12,,158.2 x 76.7 x 8.2 mm,32.0 MP,Chống rung quang học (OIS),IP67,Exynos 1380,,Xem trong sách hướng dẫn sử dụng,,11490000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.4 inch,Ultra Wide,802.11 a/b/g,,,,,3/2023,
Điện dung đa điểm,Single selfie camera,v5.1,Honor,Cảm biến gia tốc,256 GB,5100 mAh,Thẻ bảo hành,1 Tỷ,120 Hz,,Nhựa,,,Lithium polymer,AMOLED,,,,,175 g,12,1080 x 2400 Pixels,Macro lens,BDS,3G,,,FHD+,,Honor X9A 5G 8GB-256GB,2,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,ƒ/2.5,89%,Android,,,2 Nano SIM,395 ppi,8,,Wide,1080p@30fps,Trung Quốc,Adreno 619,Octa-Core,,Android 12,,161.6 x 73.9 x 7.9 mm,16.0 MP,Chụp bằng cử chỉ,,Snapdragon 695 5G,,Xem trong sách hướng dẫn sử dụng,,7990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.67 inch,Ultra Wide,802.11 a/b/g/n/ac,,,OTG,,01/2023,20:9
,,Có,Samsung,,128 GB,6000 mAh,,,120,,Nhựa Polycarbonate,,,,Super AMOLED,,MicroSD,,,208 g,12,1080 x 2400 Pixels,Zoom,GLONASS,5G,,,FHD+,,Samsung Galaxy M34 5G 128GB,2,,,ƒ/2.2,,Android,Type C,1000 nits,2 Nano SIM,,8,1 TB,Wide,,Việt Nam / Trung Quốc,,,,Android 13.0,,161.7 x 77.2 x 8.8 mm,13.0 MP,,,Exynos 1280,,Xem trong sách hướng dẫn sử dụng,,7990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.5 inch,Ultra Wide,802.11 a/b/g,,,,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.2,Vivo,Cảm biến trọng lực,128 GB,4500 mAh,Tai nghe,16 Triệu,90,Schott Xensation UP,,,,Lithium-ion,AMOLED,2.4 GHz,MicroSD,,,186 g,12,1080 x 2040 Pixel,Macro lens,GPS,5G,Có,CMOS,FHD+,,Vivo V25 5G 8GB-128GB,2,,,ƒ/2.0,91%,Android,,1300 nits,2 Nano SIM,409 ppi,8,,Standard,,Trung Quốc,Mali-G68 MC4,8 - Core,,Android 12,,159.20 x 74.20 x 7.79 mm,50.0 MP,Nhãn dán (AR Stickers),IP54,MediaTek Dimensity 900,,Xem trong sách hướng dẫn sử dụng,,10490000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,1.75 µm,6.44 inch,Wide,802.11 a/b/g/n/ac,Khoảng 113 GB,LPDDR4X,OTG,,10/2022,20:9
,,v5.2,Realme,,128 GB,5000 mAh,Ốp lưng,16.7 Triệu,90,Gorilla Glass 5,Mặt lưng máy: Thủy tinh,,Mở khoá vân tay cạnh viền,Lithium polymer,Super AMOLED,,,,,178 g,12,1080 x 2400 Pixels,,GPS,3G,,,FHD+,,realme 11 4G 8GB-128GB,,2 x Cortex-A76 2.20 GHz + 6 x Cortex-A55 2.00 GHz,,,,Android,,,2 Nano SIM,,8,,,,Trung Quốc,Mali-G57 MC2,Octa-Core,,Android 13.0,,159.9 x 73.3 x 7.95 mm,16.0 MP,Bộ lọc màu,,MediaTek Helio G99,,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,7390000.0,,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,6.4 inch,,Wifi 5,,,Jack 3.5 mm,,07.2023,
Điện dung đa điểm,Single selfie camera,v5.2,Vivo,,128 GB,4500 mAh,Tai nghe,16 Triệu,,Schott Xensation UP,Mặt lưng máy: Kính,,,Lithium-ion,AMOLED,2.2 GHz,MicroSD,,,183 g,12,1080 x 2040 Pixel,Macro lens,GPS,4G,Có,CMOS,FHD+,,Vivo V25e 8GB - 128GB,2,2 x Cortex-A76 2.20 GHz + 6 x Cortex-A55 2.00 GHz,Không giới hạn,ƒ/2.0,91%,Android,Cổng sạc: Type C,1000 nits,2 Nano SIM,409 ppi,8,1 TB,Standard,,Trung Quốc,Mali-G57,8 - Core,,Android 12,103% NTSC,159.20 x 74.20 x  7.79 mm,32.0 MP,Nhãn dán (AR Stickers),IP54,MediaTek Helio G99,,Xem trong sách hướng dẫn sử dụng,,8490000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,0.80 µm,6.44 inch,Bokeh,802.11 a/b/g/n/ac,Khoảng 113 GB,LPDDR4X,OTG,,10/2022,20:9
,Single selfie camera,v5.1,Xiaomi,,256 GB,5000 mAh,Ốp lưng,,90,Gorilla Glass 3,Mặt kính: Kính Gorilla Glass 3,,Mở khoá vân tay cạnh viền,,AMOLED,2.05 GHz,MicroSD,,Có,176 g,18,1080 x 2400 Pixels,Macro lens,,4G,,,FHD+,,Xiaomi Redmi Note 12S 8GB-256GB,2,,Không giới hạn,ƒ/2.45,,Android,,1000 nits,2 Nano SIM,,8,1 TB,Standard,,Trung Quốc,Mali-G57 MC2,,,Android 13.0,,159.87 x 73.87 x 8.09 mm,16.0 MP,,IP53,MediaTek Helio G96,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,6690000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,0.70 µm,6.43 inch,Ultra Wide,,Khoảng 223 GB,LPDDR4X,NFC,,2023,
Điện dung đa điểm,Single selfie camera,v5.0,Xiaomi,Con quay hồi chuyển,128 GB,5000 mAh,Ốp lưng,,90,Gorilla Glass 3,Mặt lưng máy: Nhựa,,Mở khóa bằng mật mã,Lithium polymer,AMOLED,2.05 GHz,MicroSD,,,179 g,18,1080 x 2400 Pixels,Depth,GPS,4G,Có,,FHD+,,Xiaomi Redmi Note 11S 8GB - 128GB,2,,Không giới hạn,ƒ/2.4,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,512 GB,Standard,Quay phim HD,Trung Quốc,Mali-G57 MC2,Octa-Core,Macro lens,Android 11,,159.9 x 73.9 x 8.1 mm,16.0 MP,Nhận diện khuôn mặt,,MediaTek Helio G96,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,6690000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Quad rear camera,,6.43 inch,Ultra Wide,Dual-band (2.4 GHz/ 5 GHz),,,Bluetooth,,01/2022,
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,64 GB,5000 mAh,Cáp Micro-USB,16 Triệu,60,Kính cường lực Panda,Khung máy: Nhựa,Không,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,2.3 GHz,MicroSD,,Không,187 g,12,720 x 1612 Pixels,,A-GPS,4G,,,HD+,,OPPO A17 4GB-64GB,2,,Không giới hạn,ƒ/2.2,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,Quay phim HD,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 12 (ColorOS 12.1),,163.7 x 75 x 7.99 mm,5.0 MP,Nhận diện khuôn mặt,IPX4,Helio G35,,Xem trong sách hướng dẫn sử dụng,,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.56 inch,,802.11 a/b/g/n/ac,,,OTG,,10/2022,
Điện dung đa điểm,Single selfie camera,v5.2,Nokia,Cảm biến gia tốc,128 GB,5050 mAh,Tai nghe,16 Triệu,,Kính cường lực,Kính,,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,1.60 GHz,MicroSD,,,198.4 g,12,720 x 1600 Pixels,,GPS,4G,,,HD+,,Nokia C32,2,,,,,Android,Type C,,2 Nano SIM,,8,256 GB,Standard,Quay phim FullHD,Trung Quốc,,,,Android 13.0,,,8.0 MP,Chụp chân dung,IP52,Unisoc SC9863A1,,Xem trong sách hướng dẫn sử dụng,,3290000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.5 inch,Macro lens,802.11 b/g/n,,,Jack 3.5 mm,,2023,
,Single selfie camera,v5.1,Realme,Cảm biến trọng lực,64 GB,5000 mAh,Ốp lưng,16.7 Triệu,90,,Nhựa,,,Lithium polymer,IPS LCD,1.8 GHz,Không,,,186 g,12,720 x 1600 Pixels,,A-GPS,3G,,,HD,,realme C51 3GB-64GB,,2 x Cortex A75 1.8 GHz + 6 x Cortex A55 1.8 GHz,,ƒ/2.2,,Android,,,,,8,,,,Trung Quốc,IMG GE8320,Octa-Core,,Android 13.0,,167.2 x 76.7 x 7.99 mm,5.0 MP,Bộ lọc màu,,Unisoc T612,,,,2990000.0,3 GB,,Double rear camera,,6.74 inch,,802.11 a/b/g/n/ac,Đang cập nhật,,,,11/2023,20:15
,Single selfie camera,v5.1,Honor,Cảm biến trọng lực,64 GB,5200 mAh,Ốp lưng,16.7 Triệu,90,,Nhựa,,,Lithium polymer,TFT LCD,2.2 GHz,Không,,,188 g,12,720 x 1612 Pixels,,A-GPS,3G,,,,,Honor X5 Plus 4GB-64GB,,4 x Cortex A53 2.2 GHz + 4 x Cortex A53,,ƒ/2.2,,Android,,,,,8,,,,Trung Quốc,IMG GE8320,Octa-Core,,Android 13.0,,163.32 x 5.07 x 8.35 mm,5.0 MP,Siêu cận (Macro),,MediaTek Helio G36,,,,2290000.0,4 GB,,Double rear camera,,6.56 inch,,802.11 a/b/g/n/ac,,,,,10/2023,20:15
,,v5.0,Nokia,,128 MB,1150 mAh,Tai nghe,256.000,,Kính thường,Mặt lưng máy: Nhựa,,,Lithium-ion,TFT LCD,,MicroSD,,,181 g,12,320 x 240 Pixels,,,4G,,,QVGA,,Nokia 215 DS 4G,2,,1000,,,KaiOS,Cổng sạc: Micro-USB,,2 Nano SIM,,0,32 GB,,,Trung Quốc,,,,Nokia S30+,,106.9 x  75.9 x 8.7 mm,,,,Unisoc T117,,Xem trong sách hướng dẫn sử dụng,Pin có thể tháo rời,990000.0,64 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,2.4 inch,,,,,Radio FM,,01/2021,
,,v5.0,Masstel,,128 MB,1800 mAh,Pin rời,16.7 Triệu,,,Mặt lưng máy: Nhựa,,,Lithium-ion,,,,,,137.6 g,12,320 x 240 Pixels,,,4G,,,QVGA,,Masstel Lux 20 4G,2,,,,,,Type C,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,,,126.5 x 53.8 x 13.4 mm,,,,Unisoc T107,,Xem trong sách hướng dẫn sử dụng,,750000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,2.4 inch,,,,,,,08/2022,
,,v4.2,Masstel,,24 MB,2000 mAh,Sạc,262.000,,Mặt kính cong 2.5D,Khung máy: Hợp kim nhôm,,,Lithium-ion,TFT LCD,,MicroSD,,,146.2 g,12,176 x 220 Pixels,,,4G,,,QVGA,,Masstel Fami 60 4G,2,,500 Số,,,,Cổng sạc: Type C,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,,,57.1	x 15.3 x 125.9 mm,,,,Unisoc UIS8910,,Xem trong sách hướng dẫn sử dụng,Pin có thể tháo rời,750000.0,16 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,2.0 inch,,,,,Radio FM,,11/2021,
,,v5.0,Nokia,,128 MB,1450 mAh,Pin rời,,,,Nhựa,,,Lithium-ion,,,MicroSD,,,94.5 g,12,120 x 160 Pixels,,,3G,,,QQVGA,,Nokia 110 DS Pro 4G,2,,,,,S30+,Micro-USB,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,Nokia S30+,,,,,Không,,,Xem trong sách hướng dẫn sử dụng,,720000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,1.77 inch,,,,,Jack 3.5 mm,,2023,
,,v5.0,Nokia,,128 MB,1450 mAh,Pin rời,,,,Nhựa,,,Lithium-ion,,,MicroSD,,,93 g,12,120 x 160 Pixels,,,3G,,,QQVGA,,Nokia 105 DS Pro 4G,2,,,,,S30+,Micro-USB,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,Nokia S30+,,121.5 x 50 x 14.4 mm,,,Không,Unisoc T107,,Xem trong sách hướng dẫn sử dụng,,680000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,1.77 inch,,,,,Jack 3.5 mm,,2023,
Điện dung đa điểm,,,Nokia,,128 MB,1020 mAh,Tai nghe,,,Kính thường,,Có,Mở khóa bằng mật mã,,QQVGA,,MicroSD,,,84.5 g,12,,,,4G,,,QQVGA,,Nokia 110 DS 4G,2,,Tùy bộ nhớ,,,,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,2,32 GB,Standard,,Trung Quốc,,,,Nokia S30+,,121 x 50 x 14.5 mm,0.08 MP,,,Unisoc T107,,,Pin có thể tháo rời,870000.0,48 MB,,Single rear camera,,1.8 inch,,,,,Radio FM,,06/2021,
,,v5.0,Masstel,,256 MB,1400 mAh,Sạc,262.000,,,Khung máy: Kim loại,,,Lithium-ion,QQVGA,,MicroSD,,,124 g,12,160 x 128 Pixels,,,4G,,,QQVGA,,Masstel Fami 12 4G,2,,Tùy bộ nhớ,,,,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,,64 GB,Standard,,Trung Quốc,,,,,,54.5	x 15.3 x 118.3 mm,0.08 MP,,,Unisoc T107,,Xem trong sách hướng dẫn sử dụng,Pin có thể tháo rời,650000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,1.77 inch,,,,,Radio FM,,02/2022,
,,Có,Masstel,,128 MB,1800 mAh,Pin rời,,,,Nhựa,,,Lithium-ion,QQVGA,,MicroSD,,,102.9 g,12,320 x 240 Pixels,,,4G,,,QQVGA,,Masstel izi 30 4G,2,,500 Số,,,Không,,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,Không,,128 x 54 x 15 mm,,,,Unisoc UMS9117,,Xem trong sách hướng dẫn sử dụng,,600000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,2.4 inch,,,,,,,06/2023,
,,v5.0,Masstel,,128 MB,1400 mAh,Pin rời,262.000,,,,,,Lithium-ion,,,,,,97 g,12,320 x 240 Pixels,,,4G,,,QVGA,,Masstel Izi 25 4G,2,,,,,,Micro-USB,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,,,126 x 53 x 14 mm,,,,Unisoc UMS9117,,Xem trong sách hướng dẫn sử dụng,,600000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,2.4 inch,,,,,,,2022,
,,v4.1,Masstel,,128 MB,1700 mAh,Sạc,,,Mặt kính cong 2.5D,Nhựa,,,Lithium-ion,TFT LCD,,MicroSD,,,100 g,12,160 x 128 Pixels,,,4G,,,QQVGA,,Masstel Izi 20 4G,2,,500 Số,,,Không,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,,32 GB,,,Trung Quốc,,,,Không,,117.5 x 49.7 x 16.5 mm,,,,Unisoc UMS9117,,Xem trong sách hướng dẫn sử dụng,,500000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,1.77 inch,,,,,Radio FM,,12/2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Poco M4 Pro 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPPO Reno7 Pro 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPPO Reno7 SE 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Redmi Note 11T 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Redmi Note 11 Pro+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo Z5i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung Galaxy A02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung Galaxy M21s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honor V40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPPO K7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nokia 8 V 5G UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Redmi Note 9 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Redmi Note 9 Pro 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Poco M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asus Zenfone 7 Pro ZS671KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPPO X 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung Galaxy M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung Galaxy M42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
